Ninja,Props to you bro for going for COD. I know Halo doesn&#39;t challenge me so I know it wouldn&#39;t challenge you. Hope you go big in cod! And don&#39;t care if ppl give you hate for going to COD.. people like that are ignorant anyways :P cheers
Ninja,"Ninjalicious wish you well in whatever you do.  Always great videos and everything feels legit and heart felt.  Personally I don&#39;t understand the love for COD and the first one to shoot wins concept. Always enjoyed halo gameplay, in game movement and the challenge of dropping shields with team play.  Peace"
Ninja,"Good décision ninja, money and media coverage is on CoD right now, and being a competitor you made the right decision, wish you the best, I think you can be one of the best out there in CoD."
Ninja,"You seem like a really likeable person, and it&#39;s cool that you love Halo and Halo 4!
I hope you can find success in CoD and whatever you choose to do, and hopefully we&#39;ll see Halo make a huge comeback at some point. It&#39;s my favorite game series and I have so many memories from it that &#39;d hate to see it fade away."
Ninja,"This is sad, but at the same time extremely understandable.
You&#39;ve given us all amazing Halo content over a long time, which we all appreciate tons!
So good luck on your future endeavors in the CoD scene and I will for sure keep tuning in! :)"
Ninja,Its a different type of skill. Halo is much more fast pace and teamwork depending. You usually don&#39;t have teamwork in RTSs. Halo is also much more about getting in other peoples heads and keeping a cool mind yourself. On the other hand RTSs skill is more about strategy and setup.
Ninja,"I did the same thing, I was loving Halo but then Halo 4 came out and it stunk in my opinion which I was hoping it didn&#39;t. So I switched back to competitive Cod and as you said as well looking forward to Destiny and Titanfall on the Xbox One. Also hoping Halo 5 is better!!!"
Ninja,"I completely understand, take it from me, people don&#39;t like call of duty (I don&#39;t) and we know that but the people who do go insane about it and I feel like them watching you can actually help them and show that you are involved in even more then just halo that you can be good at a game that appeals to a completely different following. So in that, I tip my hat to you good sir."
Ninja,I totally agree man like i feel like the hit registration and hitscan are perfect! on h4 but thats 1 good thing out of like a 100 bad things sprint is annoying atleast in cod its not a big deal because well if your getting shot most times you don&#39;t stay alive in halo its stupid i want h5 to be good i have hopes but if i see loadouts sprint i know descope will be in but sprint better not be in or atleast the whole game is based around sprint
Ninja,"I&#39;m so glad you&#39;re enjoying COD and I see you doing seriously well in COD, just don&#39;t forget where you came from man. I&#39;ve been here since the early days of your stream and don&#39;t want you to get big then forget about your Halo fans. GLHF ^.^"
Ninja,"Do what you gotta do ty, popularity is where the moneys at with yt and twitch. 

still jump in and talk of halo/ etc though, i find it interesting. i would love to see you stay up to speed with the community, talk of halo 5 when possible. Thats what will keep me interested in streams/ videos."
Ninja,good to see you switching it up. For all the people hating if your making a living on gaming you gotta go where the money is. I think your making the right choice and you&#39;ll do great in cod ghosts
Ninja,"Ninja I&#39;m so happy for you and I&#39;m definitely behind you 100% going forward. I wish you the best and the Call of Duty community is lucky to have you. In all honesty I hope a lot of ex-Halo Pros come over to our community. I think it&#39;s awesome that both communities can come together and help grow console Esports. I really do hope that CoD can become as big as LoL or Dota, I know that&#39;s a long shot, but the better the players, the better personalities the more it will grow. "
Ninja,"I admire your drive Ninja. I&#39;ve been a Halo fan since the beginning and an MLG Halo fan since the reign of Str8Rippin in &#39;08. I loved your stream in Reach and aspired to be a pro in Reach. Once it was taken off MLG, I wasn&#39;t sure what to do so I went to the game that &quot;took it&#39;s spot,&quot; Starcraft. Now I&#39;m a high diamond terran looking to play something else. I enjoy it, but it is such a freaken hard game to be skilled in. 

Keep competing Ninja, I&#39;d love to see where CoD takes you!"
Ninja,I cant imagine anything that you make with CoD will beat the videos you made while on Zealot or Countdown playing the suds
Ninja,Thank you
Ninja,We support you no matter what you play Ninja.  We love you man.
Ninja,We love you Ninj. As a CoD player and a Halo player I respect your choice.
Ninja,Whos here 5 years later when ninja&#39;s a fortnite legend
Ninja,"You made the right decision. I&#39;ll be watching to see if you succeed in competitive CoD. To all the people who are butthurt about this news, he said in this video that he will still play Halo 3 for fun so just follow his stream to see when that happens."
Ninja,I startet to play halo because of you.  I trained hard because i wanted to be like you now i am playing halo really good. So to see my biggest idol leaving halo is hard for me. So it is the darkest day in history so i will take i silence minuit for an fallen HERO THANX FOR BEEING MY HERO
Ninja,I love watching you play halo 4! Man I loved Funny moments in reach those were the good days I don&#39;t really go on stream I
Ninja,I suffered through halo reach and just couldn&#39;t handle another bad halo game.. so now i basically just play lol gta v and halo 3 from time to time. Just saying that I understand that its a career and I will support you through this Ninja. Watching ghosts prob isn&#39;t even as bad as halo 4
Ninja,Hey Tyler have you ever thought about playing with subs? I think itd be pretty cool if you just tweeted out that youd be playing in an open lobby and let your subs join.
Ninja,This is very mature of you. After your whinging against Holmbom this was unexpected. Fingers crossed for H5. I don&#39;t have much xbox time these days with my family. But there is most defiantly time to watch a classic halo experience.
Ninja,"A true competitor goes where the best compatition is, to keep his skills at their highest peak. Thats not halo anymore. A lot of pros as he mentions are switching; snakebite, formal, and enable. This is good for halo, because if and when halo comes back, the top pros will still have their competative edge. "
Ninja,"Ninja, ever since before Halo 4 when I found out about you, you&#39;ve by far been one of my all-time favorite Pros. I think you&#39;re a great competitor and you want that hardcore team experience. Calling out and teamwork, through and through. Halo 4 should&#39;ve been #1 on the MLG scene but it appears BO2 has taken its place - and for good reason. Halo 3 was the last good Halo in my opinion.

Good choice bro. You can only meet Halo half way, and that was too much for Halo. It killed itself."
Ninja,Its sad to see you go from halo (for the most part) but your still one of my favorite pro gamers and I think you have a lot to bring to cod from halo man good luck with it ill follow you no matter what
Ninja,"I&#39;m no pro but small tip... At around 4:20, you saw your team mate watching kitchen but you looked there anyway. You should have watched pillars so those 2 guys didn&#39;t come in and kill you and your partner. Anyway, I&#39;m a long time subscriber and will watch you in whatever game you play :)"
Ninja,"Tylor. You shouldn&#39;t feel the need to apologise. You&#39;ve given us (Halo fans) years of entertainment, yes you was born from Halo. But it&#39;s clear that Call Of Duty is the only FPS that can grow a player as well as a channel.

I wish you all the best in your Ghost endeavours. But remember bro, Spartans never die."
Ninja, I understand your decision to switch to COD but seeing halo go is so depressing. I have loved halo for so long and never thought it would end in the competitive scene. hopefully halo 5 will make halo great again. best of luck to you ninja.
Ninja,"had u ever thought about that during the time when u play halo reach u did a lot of 1 on 1 battles and it&#39;s quite funny, sometime u do incredible things out of no where which perhaps gets people&#39;s attention to watch"
Ninja,Look forward to seeing you compete in Ghosts!  Get some!
Ninja,"hopefully you can do what crimsix did and go pro in both. all the best, and i thinki can speak for all the halo community when i say make sure you use what ever means you have to get rankings, good maps and settings on launch on halo 5. all the best in cod"
Ninja,"always looked up to ninja as a H4 player but i guess stuff does not last forever good luck ninja hope to see you when H5 comes out 
"
Ninja,more power to ya bro take it all the way
Ninja,"Good luck Tyler. Im on board with you all the way. You and Nadshots are my idols

"
Ninja,"This was depressing to watch..<br>Seeing the halo community crumble with no one to help rebuild it over the years created issues in itself. Halo 4 was meant to be an amazing game that everyone would enjoy; most of my Cod friends were gonna transfer from cod to halo 4, but it wasnt  because it was uneven &amp; unfinished."
Ninja,"You&#39;re allowed to play whichever game you want, to me you&#39;re the face of halo 4 so it kind of gets me a little down but you&#39;ve done it respectfully and stated your intentions so I can&#39;t really get annoyed at you, just obviously annoyed at the situation. Wish you luck though."
Ninja,I&#39;m glad that you&#39;re playing/streaming cod an halo 3 since I like those games more then halo 4. an I obviously like your personality.
Ninja,i love halo 4 its sad to see it die how it did its not even a bad game...
Ninja,Keep it up and upload awesome videos like this
Youtuber,Comments
theRadBrad,Didn&#39;t expect for this video to do so well. Thanks to all of you who watched or are watching this short series! &lt;3
theRadBrad,"This series will be 9 parts total and finished by tomorrow. Thank you guys so much for 50k likes on this first part, I underestimated you! &lt;3"
theRadBrad,Got several parts of this going up today! Thanks for all your support. 
theRadBrad,Reason why I chose to stick with Brad is that he doesn&#39;t talk nonstop like others and chose to not to add webcam box to this masterpiece game thus not ruining the atmospheric tension.<br>Thank you Brad.
theRadBrad,"While this series was a short series, I appreciate your support on every part. If you missed me playing The Last of Us this past year here is the first part of it! <a href=""https://www.youtube.com/watch?v=HawhjjF5qFc"">The Last of Us Gameplay Walkthrough Part 1 - Infected</a>"
theRadBrad,I want a dlc of what Joel done during the 20 years before he first met Ellie
theRadBrad,Just woke up and holy shit! Didn&#39;t expect this video to perform this well. Thank you so much for all the support so far. 20k Likes in just 6 hours is insane for me. &lt;3
theRadBrad,It&#39;s unreal that we are closing in on 50k likes in less than 24 hours. Much love to all of you.
theRadBrad,Last of us was one of the first games where I cared about the characters and had emotions towards them
theRadBrad,"This game does a very good job of giving the characters personality. I actually cared about what happened to the characters and the evolution of Ellie and Joel&#39;s father daughter-esque relationship. And when the game ended I actually kinda missed seeing the characters go through the story. The stealth system could have been better. But the story was by far one of my personal favorite stories in video games ever. When Joel&#39;s daughter got shot it almost brought me to tears, not many games can give me feels."
theRadBrad,This is why i love NaughtyDogs. They make their games like they&#39;re movies which is really entertaining.
theRadBrad,I just got done with The Last of Us and am starting this DLC.  Now we get a backstory on Ellie and also find out what she was doing when Joel was injured.  Loving this!!
theRadBrad,Here we go guys! Stayed up late as I possibly could for this one. If you want the entire series uploaded as fast as possible just drop a bomb on that like button.
theRadBrad,"By far the best game ever, plus my favorite walkthrough of yours! I love the suspense and everything! Love you brad  "
theRadBrad,"Brad says; It&#39;s a prequel, so those who haven&#39;t seeing the main story yet should be fine.<br><br>Game says; don&#39;t play this game until you&#39;ve finished the main story. "
theRadBrad,"Cool, looking forward to watching this series later tonight. I found your channel when an episode of The Last of Us appeared on the YouTube home page last year. I&#39;m not even a gamer, but I was utterly addicted to your &#39;Last of Us&#39; walkthrough videos. What a work of art that game was."
theRadBrad,"OMG I&#39;m so happy they added to the last of us. That was my favorite lp to watch Brad play, and I&#39;m so excited to watch this."
theRadBrad,"I just want to thank you for being so damn entertaining. I literally beat this game but I still sat at my computer to watch you play through it because you are just hilarious. Also thanks for playing all the horror games before everyone else because when I&#39;m nervous to beat a certain section, I watch you first and then play that section. &quot;Ex. In the last of us when you started the generator and ran up the stairs and turn the corner only to be killed by the bloater.. I knew not to do that :)"
theRadBrad,More on the way! Thanks for your support so far. 
theRadBrad,"Wow thank you so much for these videos Brad they really  make my day better, even though this game was posted in 2014 I&#39;m still watching it in 2019. Thank you Brad, your commentary is amazing."
theRadBrad,Been waiting forever for this DLC. Really shocked that it ties between both the prequel and the actual game. Keep it up man!
theRadBrad,"Amazing game, this is probably the best DLC ever! I so can&#39;t wait for The Last of Us 2! Good job Brad! Always love you talking throughout the game, very fun!"
theRadBrad,"I found your channel when I was browsing for Walking Dead walkthroughs. Stayed for the insanely entertaining videos. You&#39;re awesome, Brad! Mad love and respect! :D"
theRadBrad,brad you seriously make the best walkthrough&#39;s ever! i might not have been in your channel for a long time only since 2013 but i have seen a lot of your videos and there the best keep up with the good work!
theRadBrad,Part 2 and 3 are uploading now. We are halfway to 50k likes which is unreal in just 8 hours. :D
theRadBrad,"I found you last year with your Last of Us playthrough. To be honest, it&#39;s what inspired me to go out and buy the console and the game. I sold my old PS3 so I needed a new one, didn&#39;t want to miss out on experiencing it myself.<br>Keep up the awesome content Brad."
theRadBrad,"I found this channel when I was looking for a Last of Us (the original) walkthrough. I&#39;ve ended up watching Brad&#39;s entire walkthrough and now I find that there&#39;s this DLC I can play as well, now that I finally got a console. Thanks, Brad."
theRadBrad,I think I found your channel about 3 or 4 years ago and I&#39;m glad I did! You are hilarious and I hope you keep making videos so I laugh for 10 min a day like I have been! :) Thanks for making these vids Brad and I would have liked to subscribe earlier but when I was younger I didn&#39;t have a email and I couldn&#39;t even comment and I wish I could because there are so many great things I would have said and always would have liked!
theRadBrad,I have never been so excited to see more of a game...I love love love this game.
theRadBrad,I feel the way the cutscenes &amp; gameplay cut back and forth is very similar to how Halo ODST played out. It is also makes for a very unique gameplay that&#39;s story driven. Good job!
theRadBrad,Just found an Uncharted and Jak &amp; Daxter reference in this game! 
theRadBrad,Absolutely love this series!
theRadBrad,"been a while since ive been on your channel brad, nice one hitting 1 mill subs! looking forward to this LP. The Last of Us is the most amazing game ive ever played in terms of graphics, voice acting, gameplay, enjoyability etc and i havent had chance to play/watch this yet."
theRadBrad,the &quot;The Last of Us&quot; series has a special place in my veins because this was the first series that i watched on your channel.. hahah!! way to go brad!! keep it up mah maaannn!!
theRadBrad,"I&#39;m a recent subscriber and just wanted to say thank you for making this amazing walkthrough videos. You are super funny, keep it up! "
theRadBrad,I love the last of us because Its a heartbreaking never ending game.
theRadBrad,"i found this channel a long time ago, thanks for videos, i hope &quot;the last of us 2&quot; comes out soon love survival horror :]"
theRadBrad,"I just found the channel a week ago, which means I have your huge library or gameplay to entertain myself! You&#39;re a great gamer and this is a cool thing you&#39;re doing. Thanks for letting the story flow, that&#39;s why I like games! No skipping through cutscenes like a biggety bitch..."
theRadBrad,"I saw my first video of you because I was searching &quot;Game Endings&quot;. Then I forget which game I watched, but I was so hooked. Probably because your commentary is so humorous! I watched the whole walkthrough of Behind Two Souls, it was incredible! You are such a good commentator, almost too good for YouTube! Keep up the good work! :)"
theRadBrad,can&#39;t tell you how happy I am to see there is more &quot;the last of us&quot;. greatest video game ever! (in my opinion)
theRadBrad,Brad just wanna say keep up the good work favorite youtube right here ! I love how you let us listen to the dialogue and then speak to us your just all around the best man :) 
theRadBrad,"Excited to see this add-on to the original. In my humble opinion, The Last of Us is the BEST GAME EVER! Last year I was addicted to RadBrad&#39;s playing of it. I told people at work and at church. I obsessed on it. The writing, the graphics, the characters and the game-play with RadBrad&#39;s commentary -- perfection! (Okay, maybe not RadBrad&#39;s commentary.) Can hardly wait to watch this shorter series. The only bad thing about The Last of Us is it eventually has to end. Thanks, RadBrad for playing it and showing it to those of us who cannot afford to buy it.    "
theRadBrad,"I found your channel on this past Saturday, watched your enitre &quot;The Last of Us&quot; walkthrough and now I&#39;m here :D I like the way you play, and I enjoy your commentary.. keep it up!"
theRadBrad,Just finished a fat Last Of Us marathon I finished all 55 parts in 2 days and I&#39;m just starting on this now. I found your channel back when you did GTA 5 and I just want to say thanks brad for all the great stuff and keep it up!
theRadBrad,I&#39;m gonna watch this playlist a second time. Your awesome Brad! By the way. I found your channel when you did your Halo 4 walkthrough. Almost 2 years ago. Keep up the good work Brad!
theRadBrad,This was a great game last year great to see it back again Brad..
theRadBrad,Really enjoy your gameplays brad. keep `em coming :)
theRadBrad,"This DLC was so awesome, i really hope for much more in part 2 :D"
theRadBrad,I found your YouTube channel while looking for a walkthrough of The Last Of Us. I then realized that your videos were not serious walkthroughs but you were funny so I kept watching
theRadBrad,Of course this turns out to be a prequel! After I spent the last couple of days binge watching the whole series to catch up!
theRadBrad,"Oh my god, you are so much better and your commentary (and voice) are so much more bearable than basically everybody else doing a Let&#39;s Play w/commentary. &lt;3"
theRadBrad,"theRadBrad&#39;s walkthroughs are BY FAR the most entertaining I&#39;ve seen!
"
theRadBrad,I feel so stupid after the last puzzle because it was so simple that i couldn&#39;t figure it out on my own.
theRadBrad,Thanks for posting these.  I don&#39;t play portal because I suck at first person anything and the portals confuse me like crazy.  I just love the GlaDOS commentary so I live vicariously through these vids ^_^;
theRadBrad,&quot;after ALL THESE YEARS!&quot; glados is just epic
theRadBrad,"Most entertaining part yet lol, loved it."
theRadBrad,"From this video alone, I noticed how unneccesarily violent this game is. For Portal, in fact. Awesome. The explosions made me think that."
theRadBrad,"If you redirect a laser at the vent at <a href=""http://youtu.be/xrSuNDOTz3A?t=5m27s"">5:27</a> you will find a room with a group of singing turrets."
theRadBrad,"i LOVED this game, hope theres a third"
theRadBrad,is it me or is brad getting better? didnt he say he did the puzzles already
theRadBrad,The best part is GLaDOS humming &quot;For he&#39;s a jolly good fellow&quot; at 6:16
theRadBrad,"I like how Brad is actually pretty clever in terms of puzzle solving.
Some other commentators are painfully.... challenged"
theRadBrad,damn brad. you are making this an enjoyable spring break!
theRadBrad,what an cliffhanger :3 now i gotta see the next episode brads so good at cliffhangers :3
theRadBrad,"dang, radbrad has been uploading these vids like crazy the last few days he must love this game
"
theRadBrad,"To avoid turret bullets, you can pick up a cube and crouch to hide behind it. You can still move, but not shoot portals. Just if you wanted to know. Love you all."
theRadBrad,"Poor little turrets...their just trying to do their job! :( - Anyways, Im glad your not spending hours struggling through these, Ive really just wanted to see the story and how things turn out. And its nice to actually see the &quot;tests&quot; performed in a way people can learn by watching if they need help. So, I think you made the right choice by practicing before hand (via what I read in your earlier video&#39;s comments.)"
theRadBrad,"Someone have mentioned this already, but there&#39;s a secret tunnel at 6:53 that you didn&#39;t check out."
theRadBrad,I like these videos. They&#39;re a nice break from Amnesia
theRadBrad,"Man, i&#39;ve been playing WAY to much Half-Life 2 lately... Everytime you see a turret i&#39;m like &quot;Pick it up with your Grav Gun and throw it at another one!&quot;"
theRadBrad,"This game was made by valve team, when i saw it the first time i thought the portal gun was exactly like the gravity gun in half  life 2, and now the turrets, even the english accent robot looks like dog´s head, ah ah ah, funny as hell.
Nice work brad :)"
theRadBrad,"Brad,  When you upload a new video i always have a nerdgasm&lt;3"
theRadBrad,You can in the last testchamber go into the walls and see some interesting stuff. Did you know that?
theRadBrad,"nice commentary, great stuff"
theRadBrad,dude thank you for this video :D i was really stuck on the last part till watched it and seen wut u did lol. thanks man :)
theRadBrad,"Brad your amazing, ignore anyone saying this is bad! It&#39;s amazing. You plus Portal 2 = TAKE IT BITCH! Keep it up!"
theRadBrad,"@SQarmand 
At one time there were a bunch more, but I&#39;m pretty sure now she&#39;s the only one left, considering she was left in that one chamber for a couple years or so. (This is all a theory, but I&#39;m pretty sure the hotel room-looking chamber she&#39;s first in is a sustaining chamber where the subject can stay in a coma for however long needed)
In the &#39;extras&#39; portion of the game menu there&#39;s a comic that kinda explains what I mean. 
So, pretty much yeah I think she&#39;s alone."
theRadBrad,"i got stuck at the part with the turrets with the 4 cubes, i would&#39;ve never thought to do that!"
theRadBrad,I hate how in this one the Turrets arent like &quot;Its ok...no hard feelings...&quot; right before they die...
theRadBrad,You notice when the turrets shut down they things like &quot;I don&#39;t blame you&quot; or &quot;no hard feelings&quot;
theRadBrad,"Finally, a reason in Portal 2 for Brad to say &quot;Take it bitch!&quot;.
My world is now complete..."
theRadBrad,Who Else Was Singing For He&#39;s A Jolly Good Fellow When Glados Was Humming It.
theRadBrad,"when you killed the turrets with the cubes I feel dumb but creative, I used the boxes as a shield and no turrets were harmed. except the first couple xD"
theRadBrad,That part at 1:05 i just run threw getting shot at but i surived :D
theRadBrad,"&quot;Put me down!&quot;
...I never knew the turrets LIKED being killed!"
theRadBrad,"No, but there are monitors in the final third of the game that you can smash for a similar achievement"
theRadBrad,"GLaDOS: I bet you are ready to eat cake. Good thing that robot, Wheatly, was destroyed. [Went To Sleep]

Wheatly: Hey, lady, are you there? I &#39;m still trying to think of a way out of here. [Hid]

You: When will this test END?w
"
theRadBrad,"Thank you. although everytime I give up with the puzzle and watch your videos it makes me feel so stupid! I&#39;m like &quot;Of course THIS was the solution, what an idiot!&quot;"
theRadBrad,theRadBrad your so good at this game!
theRadBrad,"The turrets, to me, represent 10-year-olds on MW2, spamming dual G18&#39;s."
theRadBrad,Am I the only one who feels pity for the poor turrets?
theRadBrad,U r amazing for this video I think I am going 2 get this game now. Thanks 4 this I have liked your video and I will sub keep the vids coming
theRadBrad,Had this game for so long i stopped playing it coz of the last part.. i cant believe it was this simple...
theRadBrad,@theRadBrad If you do manage to get all three videos up i&#39;m favouring all of your portal playlist.
theRadBrad,The turret voices crack me up :)
theRadBrad,"I&#39;ve never played the first. I&#39;ve never heard of the game until they started to show commercials for part 2.. I&#39;m enjoying it so far. stuck on chapter four. Crappy surprise...
"
theRadBrad,The vids are great brad u belong on like g3tv or whatever the game channel is
theRadBrad,Brad you missed a secret room at 6:00 there was a turret in a vent you can explode and then go into the vent and listen to some nice turrets sing
theRadBrad,I&#39;ll love GLaDos:D she&#39;s have so much life:D
theRadBrad,"Almost 8 years later , the radbrad videos never get old"
theRadBrad,Still one of the most iconic walkthrough man it&#39;s crazy the walking dead finally aired it&#39;s last episode ❤️
theRadBrad,"When you get surrounded by zombies in this game, it doesn&#39;t get frustrating, but scary."
theRadBrad,I remember watching these walkthroughs and watching so carefully for the next video to drop. Brad thank you for so many great years of entertaining not just myself but a very large number of people. Much respect and love to ya.
theRadBrad,10 years ago came back for nostalgia and it never RadBrad never fails to produce! Keep it up my guy.
theRadBrad,One of the best gameplays Brad has ever done! 2021 and re-watching the series
theRadBrad,"9 years, and it&#39;s still one of his best playthroughs."
theRadBrad,"I just rewatch Brad&#39;s videos for fun, they never really get old, theres a bit of nostalgia when i do tho, Keep doing what your doing Brad!!"
theRadBrad,"This game is seriously underrated, its pretty cool to watch and frightening to play."
theRadBrad,"Thank you Brad for your diligence with your videos. Always entertaining 😉<br>This series seems to have really good voice acting and editing. Simply brilliant. I&#39;m watching in Seattle, WA👍<br>Best wishes to you and all ❤️<br>Stay safe everyone 🤘😎"
theRadBrad,This is just so amazing I’ve watched this series so many times and have beaten the game many times I just love it the memories
theRadBrad,"Im not sure why, but this game is extremely fun to me. I&#39;m usually into things like Halo, Battlefield, Forza, etc. But this is one of those games most people hate, and for some reason I love most of them."
theRadBrad,"this is very nostalgic for me, i loved this game so long ago and i still watch this over and over between periods of years and its still nice to watch."
theRadBrad,Ahhhhhhh the memories of me playing this in high school at my grandma&#39;s on the Wii U and hella junk food an shit good times!!! This game is so underrated deserves a revival or sequel imo
theRadBrad,"Oh my lord, this brings back SO MANY memories!"
theRadBrad,Played this game a dozen times. And still love watching him play this. 2018 anyone?
theRadBrad,"This game, with all its flaws. Still has some type of unique atmosphere. It&#39;s legitimate. Super lonely at times. Clunky yet appropriate. Highly recommend for any TWD fan."
theRadBrad,I know it&#39;s been 3 years since he posted this but when I heard RadBrad say &quot;if I get 10k likes...&quot;<br> I laughed. It&#39;s at 10 million views...<br>Keep up the great videos.
theRadBrad,"The fact that this is the series that I found Brad and I&#39;ve been here ever since ❤ keep it up, bud!"
theRadBrad,This might sound crazy but I actually love this game. It has legitimate replay value. Ive beaten it 3 times its just fun
theRadBrad,"Had to come back and watch this for for the damn near 4th time, this series had a hold on me and still does, I literally was sitting in my room when I started thinking about this game and his playthrough, much love 🤍"
theRadBrad,Re-watching this series in 2022. I&#39;ve played this game many a time and STILL Brad stresses me out while he&#39;s playing. Bravo!
theRadBrad,"My first Brad series, the memories on this one are lovely"
theRadBrad,"Little did brad know, that he is even right now playing as Norman Reedus with a feetus"
theRadBrad,"They need to make a game like this but with you get to play as multiple characters, possible co-op , and it has missions where it takes place in Alexandria and the prisons and all that"
theRadBrad,5 years almost and I still find it entertaining after rewatching the series every year.
theRadBrad,I love that Norman Reedus actually voiced his character in the game! 💓
theRadBrad,"This is the video of brads that ive ever watched and god its bringing back memories, keep up the good work brad from 8 years in the future"
theRadBrad,"I haven’t played this in years, it brings back memories"
theRadBrad,"I remember playing this game didn’t make it far in this level, but just now playing it and I’m a legend at it executing mad  zombies easily in groups"
theRadBrad,"I know it&#39;s late, but I actually had so much fun with this game"
theRadBrad,i like the dialogue in this game. Daryl really talks like Daryl. I wonder if this game is backwards compatible. It really does give me dead island vibes too. I wanna play it but i have an xbox one
theRadBrad,"I first started watching during his first dead rising gameplay, but survival instinct has been my favorite or even on par with his dead rising 3  playthrough. <br>I always come back every year to binge all the old walkthroughs, and I love Brad as an individual, and will always be my favorite gaming youtuber."
theRadBrad,"I really want to go back to 2012 and make a quality zombie game with Daryl&#39;s (melee, shooting) and Glenn&#39;s (stealth and parkour) storylines."
theRadBrad,I love this series and I feel old seeing this again. I loved this series! Yes I am a huge Walking Dead fan too! :)
theRadBrad,Its 6 years ago but still i like the story. Gonna add this in my watch list.
theRadBrad,The most underrated game of 2013. Idk why this game got so much hate.
theRadBrad,First youtube video I saw from Brad. Always remember watching his vids after I come home from school. It just felt like home. Thanks for making my childhood Brad
theRadBrad,Great video man your really funny and makes watching the game play fun. I Love TWD show can’t believe it’s been 13 yrs. It’s nostalgic at this point. Keep up the great work. Thank you. 😂😂😂😂
theRadBrad,"A next gen version of this with a 3rd person view too would be awesome! Great vid, made me want to go get a cheap 360 just for this ✌"
theRadBrad,The Walking Dead is also my fav show. I rewatch each season each year. Love it to pieces.
theRadBrad,"Wow, I think i have this game somewhere in my house. <br><br>I&#39;ve got so many twd games, but I remember watching this play through six years ago and holy- it&#39;s brought back memories."
theRadBrad,There should definitely be more zombie shows like the walking dead on tv
theRadBrad,I played this game so many years ago I forgot what it was even called so thank you for the memories :)
theRadBrad,I&#39;ve played this game. I&#39;m glad it gives us a bit of back story of Daryl Dixon and Merle Dixon.
theRadBrad,Underated game.. completed it twice before i realised you can choose different locations on the maps then played it though another 3 times
theRadBrad,2020 and this is still my favorite gameplay
theRadBrad,"The Walking Dead: Survival Instinct Gameplay Walkthrough Part 1 - Intro was the first video I saw from theRadBrad. I too am a The Walking Dead fan and this gameplay is so good. Lastly, this video is now 10 years old and I feel old."
theRadBrad,I started watching twd on netflix &amp; it&#39;s amazing . I never really taught it was cool . I was looking for a gameplay &amp; I found the rad brad . Your amazing rad brad keep it up . I liked the last of us gameplay you put . Keep it up man 
theRadBrad,I can&#39;t believe it&#39;s been four years since I first watched this series XD I remember following along with this when it started and still love it to this day. To answer the question (albeit four years late) I&#39;m from Ireland. What about all of you? :D
theRadBrad,Looking forward to the new expansion later this month! Appreciate the love fam
theRadBrad,"This is such a good game, i played it myself and it gave me the chills! Love this game ❤️"
theRadBrad,"Wow, I can&#39;t believe it has been a year already. This game still looks amazing and the combat will forever be a favorite. Can&#39;t wait to see you play the new expansion."
theRadBrad,"it really is hard to believe that it&#39;s been over a year since this masterpiece came out wow, i absolutely love this game i would replay it from start to finish a second time,  and the fact that this game did not win Game of the Year is just what ??"
theRadBrad,Anyone else wants to see Brad&#39;s daughter play games like Brad. Thank you Brad for all of this.
theRadBrad,The graphics and the combat are insane in this game! Ghost of Tsushima is one of my all time favorites.
theRadBrad,"I literally started playing last month and I’m so in love with the game, all thanks to watching you play it Brad. Thank you for what you do man."
theRadBrad,A masterpiece to play as always. Thanks Brad for the video.
theRadBrad,Love this game. Your playthrough was so much fun and exciting! You made it feel so unique that I would love you to do more of this game. Hope you and your family are safe and well brad.
theRadBrad,This game never gets old it&#39;s actually crazy
theRadBrad,LOVED THIS GAME SO MUCH! Thank you for playing it again!
theRadBrad,it’s crazy how procrastinating works. I’ve been meaning to watch brad’s Ghost of Tsushima play through. I can’t believe I held it off for a whole year! Gonna go watch it now!
theRadBrad,Dang it’s already been a year since this masterpiece came out
theRadBrad,"Just had forgotten how insanely good this game was. From movement of the humans to animals. The navigation is my all time favourite of all games. Don&#39;t even need to say the sceneries. God damn, I wanna live in place like that"
theRadBrad,"Was literally watching Brad&#39;s first walkthrough from a year ago, I already played the game (which is amazing) but wanted to see someone else reacting to the whole story for the first time"
theRadBrad,Brad revisiting Tsushima on PS5 after an year is absolutely brilliant and refreshing❤️
theRadBrad,"Great game. Legends mode is very good aswell , the raids are tough but rewarding. Good community. Patiently waiting for directors cut."
theRadBrad,Love this game! So stoked to play the director’s cut!
theRadBrad,"Hi brad. Former subscriber from around 2012 , I hope you’re doing well , awesome to see your channel still thriving after almost a decade. Your play through of Prototype 2 randomly played in my head lol"
theRadBrad,One of the best games I’ve ever played. I have so much respect for this game
theRadBrad,"This game will never get old , exited about the director&#39;s cut"
theRadBrad,The game and it&#39;s story were just amazing and watching it here was the best brad
theRadBrad,Love this game SO much!! Thank you for revisiting it!<br>Please please please play the director&#39;s cut
theRadBrad,Hope all is well Brad awesome to see you playing this game again
theRadBrad,On the weekend I finally finished all side quests . Game is absolutely breathtaking. Can&#39;t wait for in I island expansion.
theRadBrad,"I loved this game so much I beat it in under a week, and then i almost got 100 percent completion but it was either a glitch or I somehow missed a quest really early on"
theRadBrad,Wow I definitely would have thought you have finished this masterpiece already!
theRadBrad,It&#39;s fun too see you play this game  again Brad. I still have never finished the game. I bought the game when it came out. But it is a great game too play.
