Ninja,i remember when ninja used to be considered a pro,2020-08-11T23:43:07Z
Ninja,Es tan hermoso 🥺,2020-08-12T05:16:54Z
Ninja,"At <a href=""https://www.youtube.com/watch?v=M339EEaBVms&amp;t=4m21s"">4:21</a>...... Your face looked so funny. You are the best fortnite player ..... Nice👍☺",2020-08-10T07:53:53Z
Ninja,the good old days when we didn&#39;t crank 90&#39;s and triple edits.,2020-08-11T08:45:35Z
Ninja,I never watch ninja game play but I just came here to see what his vids are like,2020-08-10T07:49:44Z
Ninja,These days:<br>One gun shot = immediately build skyscraper,2020-08-10T20:22:57Z
Ninja,Wish they brought back the old map and everything,2020-08-10T06:49:44Z
Ninja,When he had quality content,2018-06-20T19:06:21Z
Ninja,You were having so much fun here bro. Miss this game,2019-12-07T18:54:22Z
Ninja,El inicio del mejor gamer del mundo,2019-04-07T15:17:46Z
Ninja,Skills and communication = amazing!,2012-03-10T19:33:36Z
Ninja,I miss this game only og’s will remember the best gun,2020-01-07T19:05:21Z
Ninja,"7:17 - 7:32. The reason why Ninja is my favorite pro.
",2012-02-10T04:13:59Z
Ninja,I love u ninja haha you are my favorite youtuber!!,2018-03-02T03:11:19Z
Ninja,Ahh the good old days gives me nostalgia,2020-12-30T09:29:08Z
Ninja,Be interesting to see how well you&#39;d perform on halo1 original console in LAN Ninja.,2014-04-10T05:41:01Z
Ninja,"Still remember  when you had 10k subs and you only were playing h3 and reach, it&#39;s been a while since I haven&#39;t went to you channel and wow, you&#39;re now almost 3m , dude, there&#39;s no way really!",2018-02-25T16:35:04Z
Ninja,How did he know he pulled host before the game started?,2021-07-14T03:15:45Z
Ninja,Miss these days,2018-03-13T05:12:22Z
Ninja,One of the best you can play smoothly on 2gb ran and low end processor,2022-10-02T10:34:56Z
Ninja,Who is watching after 2018 ninja s best year lol,2018-04-04T19:41:18Z
Ninja,The days when Halo was awesome. What the hell is Microsoft doing with the Halo series.🤦‍♂️👎🏼,2018-07-29T04:55:40Z
Ninja,Lmao his mic a no no now it’s perfect 😂😂😂,2018-07-20T21:20:41Z
Ninja,Who new in 7 years he would be a millionaire,2018-08-01T07:35:12Z
Ninja,Ninja 1 dollar flip phone and his 3 dollar mic,2021-11-08T03:54:23Z
Ninja,Legend,2021-01-07T04:47:06Z
Ninja,Ninja made Halo vids dope,2018-04-27T23:38:27Z
Ninja,"<a href=""https://www.youtube.com/watch?v=IFDbzDEbkf4&amp;t=1m42s"">1:42</a> RIP headphones/eardrums",2018-05-02T07:44:15Z
Ninja,Dude i&#39;am from future and i see that you gonna be a success streamer &amp; youtuber,2018-05-23T03:18:22Z
Ninja,Compare the Mics to today&#39;s mic&#39;s,2019-01-19T19:31:56Z
Ninja,Ninja voice sounds different lol,2018-10-14T03:26:56Z
Ninja,"After Ninja is done playing Fortnite, I&#39;d like to see him crush me in any halo game.",2018-04-14T01:09:41Z
Ninja,This is not OG<br><br> Ninja is a Reach Kid,2018-06-07T14:51:27Z
Ninja,Wow this was ninja,2018-01-17T00:17:34Z
Ninja,9:21 is so funny because he says st8 on your right as soon as he says that he pummles him lol,2012-04-27T22:13:44Z
Ninja,Your the best,2018-09-15T18:58:54Z
Ninja,Ja nostalgy,2019-09-22T04:29:35Z
Ninja,That mic though,2018-03-24T17:21:35Z
Ninja,2019 anyone? He might be going back to MCC on PC!!!,2019-08-08T05:20:14Z
Ninja,Old School af,2018-04-15T02:20:18Z
Ninja,Old ninja,2020-10-06T08:37:50Z
Ninja,He had that nickmercs cam,2019-03-31T04:33:11Z
Ninja,TF IS THAT MIC GOD IM DEAD WOW U HAVE IMPROVED SO MUCH JEEZ LOL love ya tho man,2018-04-12T22:15:05Z
Ninja,only if hes not being on your team for either games,2012-04-27T22:11:27Z
Ninja,OH GOD THE MIC,2018-04-12T03:39:20Z
Ninja,congrats on ur fortnite success,2018-07-11T09:08:17Z
Ninja,08:32 - 09:23 haha awe y&#39;all are so cute!,2012-07-30T15:10:14Z
Ninja,Ugly ninja in this when he was kid 3019 anyone,2019-06-30T05:39:59Z
Ninja,Ninja come back to halo please...,2018-08-25T06:55:34Z
Ninja,Who is watching this during Coronavirus,2020-06-04T22:42:51Z
Ninja,i am in 2018 this is one of his very old vid,2018-11-07T00:03:40Z
Ninja,"<a href=""http://www.youtube.com/watch?v=IFDbzDEbkf4&amp;t=7m26s"">7:26</a>",2014-10-26T18:39:41Z
Ninja,Quien en el 2021,2021-10-17T05:36:17Z
Ninja,Love how Ninja is just casually drinking a Shield Potion while playing,2018-07-28T06:21:10Z
Ninja,I love how ninja takes out a full squad while everyone else is just looting,2018-07-28T03:13:16Z
Ninja,So nice seeing the good old team back at it again! Love it,2018-08-02T18:31:38Z
Ninja,Great vid you earned your success keep it up,2018-07-30T19:39:43Z
Ninja,Love your work ! Keep it up &lt;3,2018-07-27T22:26:04Z
Ninja,Sigues siendo el mejor  jugador de fortnite,2018-09-06T04:04:17Z
Ninja,"<a href=""https://www.youtube.com/watch?v=hmJXVk3io_g&amp;t=10m57s"">10:57</a> that sync👌😂",2018-07-28T01:42:49Z
Ninja,"I love how the rest of the squad are fighting a squad, meanwhile Ninja is just taking on another one by himself. Too good",2018-07-28T07:17:29Z
Ninja,GAMEPLAY DE QUALIDADE,2018-07-28T13:08:44Z
Ninja,So nice of Ninja&#39;s friends to upload his gameplay to carry on the legacy,2018-07-30T10:27:21Z
Ninja,"love your work, keep it up!",2018-07-27T22:27:15Z
Ninja,I enjoy what you do so keep it up bro,2018-08-19T12:40:34Z
Ninja,Whoever reads this I hope u have an amazing day :),2018-07-27T22:25:48Z
Ninja,Congratulations on the great work love your videos,2018-07-28T19:05:10Z
Ninja,Love your content man keep it up!,2018-07-27T22:28:23Z
Ninja,Ninja como VC pode ser tão bom,2018-07-29T00:20:43Z
Ninja,Love this squad. Right when you were starting to get stale your homies come in to freshen it up. Nothing bad on your part ninja it’s just a breath of fresh air from your usual. It’s a nice change!,2018-07-28T08:23:16Z
Ninja,"Mano, o Ninja é muito bom, i don&#39;t believe this ತಎತ",2018-07-28T23:39:35Z
Ninja,Yeeeah another amazing video Ready to be watched! Who else likes before watching????,2018-07-27T22:34:14Z
Ninja,Ninja não sei se você vai ler esse comentário mais queria te agradecer por me ajudar a melhorar no fortnite você me ajudou muito com suas dicas . você é top,2018-07-28T00:20:54Z
Ninja,Alguien que le traduzca a ninja que coloque los subtitulos en español por favor ninja eres el mejor,2018-07-27T23:15:29Z
Ninja,Heard all the hype about ninja came to see was the hype really worth it &amp; I must say 5 mins in &amp; I’m highly impressed From one great gamer to another I salute and subscribe,2018-08-06T17:25:21Z
Ninja,I love your videos!!! Keep being awesome,2018-07-27T22:26:11Z
Ninja,Yo ninjas is such a nice person and deserves to have all of the subs on his YouTube and twitch channel ninja pls read this ur the best 👍🏼,2018-07-30T20:55:45Z
Ninja,"People say Fortnite is dying, but actually Ninja is just killing everyone",2018-07-27T22:26:18Z
Ninja,"Hey Ninja, big fan, everyday I watch you and I watch your streams sometimes. I get so much inspiration from you, thank you and keep it up.",2018-07-27T22:26:30Z
Ninja,Ninja tienes que mejorar mucho porque para mi eres el mejor,2018-08-01T02:14:38Z
Ninja,"I just downloaded this game yesterday to finally check it out for myself. I am completely clueless but I can see why it&#39;s so popular and why people enjoy it. Watching Ninja&#39;s video is crazy for someone who has only spent 20 minutes playing, the level of complexity and precision in his gameplay is crazy, awesome job man! Hope you enjoy what you&#39;re doing right now with the game and the success you&#39;re having.",2018-07-28T16:38:08Z
Ninja,<b>Cadê os brasileiros fãs do Ninja?</b>,2018-07-29T02:39:34Z
Ninja,Best player ❤️❤️,2018-07-27T22:28:15Z
Ninja,Yo man love your content keep up the great work 👌🏻😝 ❤️,2018-07-27T22:46:03Z
Ninja,Me encantan tus videos!!,2018-07-27T22:27:55Z
Ninja,Some day I wish I could play fortnite as good as you,2018-07-31T17:44:37Z
Ninja,Damn ninja just keeps getting better. Ur never boring to watch n btw good content man 🔥💯,2018-07-28T03:50:31Z
Ninja,Nice work Ninja,2018-08-04T19:01:42Z
Ninja,❤💪,2018-07-28T00:20:28Z
Ninja,Your the best bro keep it up the good work❤️❤️,2018-07-27T22:25:42Z
Ninja,This guy is hands down the best player in the world keep up the great work,2018-07-27T23:06:10Z
Ninja,"My most sincere condolences to Ninja&#39;s friends, family, and audience. Ligma is no joke. R.I.P",2018-07-29T20:20:04Z
Ninja,keep up the great work ninja,2018-07-27T22:26:04Z
Ninja,Joga confronto solo !!!<br>Vc vai ser campeão !!!,2018-07-28T23:35:58Z
Ninja,Hi,2018-07-28T18:28:42Z
Ninja,Good work my man ❤️❤️❤️,2018-07-27T22:25:46Z
Ninja,I love watch watching ninjas video&#39;s and streams whenever I feel down I watch ninjas video&#39;s and they put a smile right on my face,2018-07-27T22:40:48Z
Ninja,Love your vids man,2018-07-28T22:16:16Z
Ninja,I keep loving Ninja Videos. How he plays. Love this.,2018-07-27T22:25:57Z
Ninja,ninjas a beast you cant deny it !,2018-07-30T16:59:00Z
Ninja,Love you ninja,2018-07-27T22:35:47Z
Ninja,THAT WAS SICK 🔥🔥,2018-07-27T22:26:27Z
Ninja,The good ol’ days when Ninja and Myth played together and got along.,2020-07-28T17:32:17Z
Ninja,Watching Ninja play is so satisfying,2018-05-17T08:48:11Z
Ninja,It was so dope to see them play together after you know... The whole cursing fiasco it really made me smile I&#39;m glad you guys are back,2018-05-16T07:30:41Z
Ninja,So glad to see these two back together playing. UNSTOPPABLE duo,2018-05-19T01:17:02Z
Ninja,"Glad they&#39;re back, I enjoy watching their videos the most",2018-05-16T15:05:01Z
Ninja,I watch ur streams everyday keep it up 👍,2018-05-16T20:47:25Z
Ninja,Myth and Ninja together are the most dynamic duo,2018-05-15T03:48:27Z
Ninja,"2 legends straight up, no one stands a chance against these 2!",2018-05-15T04:46:11Z
Ninja,"Amazing, Keep up the work Ninja!",2018-05-15T21:47:52Z
Ninja,Keep up the good vids and the good vibes,2018-05-17T22:56:54Z
Ninja,You guys are 2 of my favourite Youtubers and seeing you work together makes me happy as a person :D,2018-05-15T05:16:48Z
Ninja,games with u and myth are the best . keep em coming!!,2018-05-18T20:55:05Z
Ninja,Just seeing them together makes us happy,2018-05-15T04:00:24Z
Ninja,Sou do Brasil e vc é o melhor!👏👏👏Nice,2018-05-15T12:28:29Z
Ninja,"Your channel on YouTube is blowing up, keep up the work you deserve it all! Love you brother",2018-05-15T06:21:21Z
Ninja,"Solid gameplay, keep going Ninja.",2018-05-17T09:58:14Z
Ninja,Best duo team cookies n cream! Glad y’all are back!! 🔥🔥,2018-05-15T13:08:48Z
Ninja,Love the cookies and cream combo wish you did it more man,2018-05-22T06:55:50Z
Ninja,"I&#39;m happy that myth and ninja are duoing again, so many people who had turned against ninja for being a hypocrite are now back :)",2018-05-15T04:07:18Z
Ninja,what a start of the day! seeing you play together again!,2018-05-15T05:08:43Z
Ninja,Bien hermano sigue asi.<br>Humildad ante todo hermano<br>Sos un crack sigue asi.,2018-05-15T05:27:46Z
Ninja,good to be seeing you and myth back together <br><br>Edit: 42 kills plus more,2018-05-16T21:46:14Z
Ninja,Love the cookies and cream duo keep making more vids together and keep up the good work👌🏼,2018-05-15T18:07:19Z
Ninja,I don&#39;t particularly enjoy playing this game but really enjoy watching you play it!👌,2018-06-11T17:41:32Z
Ninja,I’m so glad Ninja doesn’t clickbait,2018-05-15T04:15:48Z
Ninja,"Hell yeah, Cookies and Cream back at it again!",2018-05-15T05:00:13Z
Ninja,So glad to see you both back together!,2018-05-15T06:43:34Z
Ninja,Ninja and Myth are by far still the most dynamic duos.,2018-05-16T16:57:44Z
Ninja,"Ninja, Myth, Tfue, and Nick eh 30 should squad up in 50 v 50 and land on the enemy side of the map and see who can get the most kills.",2018-05-15T05:59:57Z
Ninja,"Ah, the good ol’ cookies n cream.",2018-05-20T12:09:51Z
Ninja,Ninja + Myth + Tfue + Daequan = DREAM TEAM,2018-05-15T05:18:03Z
Ninja,Great stream love the new gameplay,2018-05-15T11:16:17Z
Ninja,CONGRATS ON 11 MILLION!!!!!!!<br>I have been watching since around December and I love how your content always improves,2018-05-15T13:04:19Z
Ninja,Glad to see him back with myth,2018-06-15T20:54:08Z
Ninja,Ninja is so good. I hope he keeps on practicing and becomes better then he already is. Those people in the beginning had no chance.,2018-05-15T10:47:47Z
Ninja,I love them both so much they are to equals fighting together to achieve a win. I am a little bit sad that ninja dropped myth for a while but I’m happy to see them back together again. Just stop hating they are both really cool streamers and people. Just share the love make the world a better place,2018-05-16T08:48:21Z
Ninja,My favourite 2<br> Ninja &amp; Myth 🔥,2018-05-15T03:51:04Z
Ninja,Been waiting for this video again ! Already know it’s gonna be intense and lit 👀🔥,2018-05-15T04:52:17Z
Ninja,So glad to see you two playing again,2018-05-15T08:49:35Z
Ninja,GUYS WE NEED TO GET COOKIES AND CREAM BACK BEST DUO OF ALL TIME UNDEBATABLE!!,2018-11-04T05:06:53Z
Ninja,i’m so happy that probably two of my favorite streamers are playing duos again <br>ps : this game was litttt,2018-05-15T04:48:14Z
Ninja,"<a href=""https://www.youtube.com/watch?v=1XBwq8tk0p0&amp;t=11m21s"">11:21</a> That double shotgun was awesome 👏",2018-08-05T00:04:07Z
Ninja,"Ninja + Myth = 16 minutes gameplay, if you know what i mean ❤️",2018-05-15T18:33:50Z
Ninja,That was such a beast win!,2018-05-15T05:45:06Z
Ninja,"Ninja, I love it when you guys duo together, makes a great, fun vid...<br>keep it up bro!",2018-05-15T09:20:15Z
Ninja,nice dude looking for more gameplay have a nice night!,2018-05-24T01:09:25Z
Ninja,YAY. Cookie Cream Back and better than ever. Thank you Ninja.,2018-05-15T11:29:04Z
Ninja,If they have a duo tournament of some kind these two better be on a team together,2018-05-21T16:07:49Z
Ninja,thanks for the motivation ninja everyday man!!,2018-05-15T03:40:24Z
Ninja,this is what I call good content,2018-05-15T20:59:48Z
Ninja,"Greg is so nice to Tyler, it&#39;s so wholesome, he respects him so much, and he deserves this kind of recognition ya know, he is THE icon",2021-02-05T21:33:47Z
Ninja,Tyler saying Sypher deserves a skin of his own that was so niiiice I love how supportive he is of his friends,2021-02-05T21:40:10Z
Ninja,Hey ninja keep up the good work man love ur content  and hope u have a wonderful day,2021-02-05T20:07:34Z
Ninja,"Ninja, I&#39;m very sorry for what happened to your channel. We&#39;re here to support you!",2021-02-06T15:27:39Z
Ninja,it sucks that ninja is only getting 20k-400k views a video. He is such a good streamer and deserves more especially with such a huge fanbase.,2021-02-05T23:13:06Z
Ninja,"You’re a legend and a personal inspiration to me Ninja, keep doing your thing my guy!",2021-02-05T20:24:35Z
Ninja,Came here after years just to check how he is doing 🤣,2021-02-06T06:34:23Z
Ninja,Eres un muy buen jugador ninja 🤸❤️,2021-02-05T20:07:00Z
Ninja,What I can&#39;t believe is that such an amazing fortnite player with over 20 million subs isn&#39;t getting the love and support he deserves,2021-02-06T05:17:11Z
Ninja,I love you bro... Never stop making content,2021-02-05T22:37:19Z
Ninja,"Ninja is such a great motivation for me on my own youtube journey,I am glad I was inspired by this man",2021-02-05T21:08:40Z
Ninja,Great content bro 🔥,2021-02-05T20:04:16Z
Ninja,I just miss when this legend was the only thing people ever talked about,2021-02-07T21:50:18Z
Ninja,I love when the whole squad is playing,2021-02-08T16:05:47Z
Ninja,So glad they added bounce pads back cause ninj is so good at using them,2021-02-06T03:03:02Z
Ninja,Great game play Ninja! Like!,2021-02-05T20:59:51Z
Ninja,I’m obsessed with these videos! I click as soon as possible. Stay safe out there everyone 🙏❤️,2021-02-05T20:22:10Z
Ninja,Love your vids keep it up,2021-02-05T20:29:06Z
Ninja,"Ninja doesn’t realize this, but he makes everyone’s quarantine better!",2021-02-05T20:02:28Z
Ninja,Grande mi pana Ninja 😎👌,2021-02-05T21:46:52Z
Ninja,"Got my first win in season 2 with suppressed pistol, it was always the most accurate gun !",2021-02-20T00:10:00Z
Ninja,The shadow tracker pistol is probably one of the better exotics,2021-02-05T21:46:30Z
Ninja,"of course, Sypher deserves to be in the iconic skins, I hope Fortnite will make a badass one",2021-02-08T10:47:46Z
Ninja,"<a href=""https://www.youtube.com/watch?v=_ziqNrhTsyI&amp;t=4m52s"">4:52</a> that renegade raider was literally the biggest streamsniper ever lmao",2021-02-06T00:07:06Z
Ninja,Love the video ninja great work,2021-02-06T16:05:48Z
Ninja,Ive been buying the pistal every game for the past few days I love it. In my opinion its better than all the smgs. I like using it as a sniper lol,2021-02-06T03:11:07Z
Ninja,Damn ninja has aged like 10 years in like 2 years.,2021-02-05T20:14:10Z
Ninja,The guy who makes ninjas thumb nails needs a raise.,2021-02-08T06:17:08Z
Ninja,Dobry swirek jestes,2021-02-05T20:03:17Z
Ninja,Damn the first 4 YouTubers who got icons skins are playing a lot of fortnite together,2021-02-07T07:43:02Z
Ninja,Sypher definitely deserves a skin bro.,2021-02-07T03:58:42Z
Ninja,"No matter how much you might hate Fortnite now, it will always be super fun with friends.",2021-02-06T10:16:35Z
Ninja,Sucesso só pra geral que leu Este comentario ❤️comentario ❤️<br>❤️❤️🇪🇨🇪🇨🇪🇨🇪🇨🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇨🇷🇨🇷🇨🇷🇨🇷🇨🇷🇲🇨🇲🇨🇲🇨🇮🇳🇮🇳🇮🇳🇧🇷🇧🇷❤️❤️,2021-02-05T20:03:16Z
Ninja,That first game they definitely got streamed sniped... kept pushing and even went all the way into the storm,2021-02-06T15:53:16Z
Ninja,Ninja makes Fortnite look so easy,2021-02-05T20:05:25Z
Ninja,I miss the old crazy-hair psycho Ninja😔,2021-02-06T07:11:48Z
Ninja,Ninja always be the goat is this game 🔥👊🏻,2021-02-08T11:49:59Z
Ninja,this is a fun squad to watch!,2021-02-08T20:04:32Z
Ninja,Genioooo ninjaaa saludos desde argentinaaa,2021-02-05T20:02:43Z
Ninja,I love ur work and skill ninza,2021-02-05T20:04:06Z
Ninja,i was watching old fortnite videos and i decided to come back and watch ninja and holy shit has he changed,2021-02-06T07:39:15Z
Ninja,We need old ninja back 💔😞 I can’t stop watching ut old videos 🥺,2021-02-06T00:44:23Z
Ninja,"That&#39;s an actual example <a href=""https://www.youtube.com/watch?v=_ziqNrhTsyI&amp;t=7m14s"">7:14</a> of how epic things fights happen",2021-02-05T20:22:39Z
Ninja,God Game Ninja❤,2021-04-06T14:40:38Z
Ninja,I love to see all the gang together,2021-02-06T09:03:51Z
Ninja,Fortnite taking a good turn. Even Ninja is uploading again.,2021-02-06T18:33:01Z
Ninja,Couldn&#39;t tell what the gun was by the thumbnail but I&#39;m assuming it was the silenced pistol,2021-02-05T20:05:58Z
Ninja,The intro 🔥,2021-02-05T21:03:47Z
Ninja,In the beginning he was the only one talking it seriously 😂,2021-02-08T04:48:45Z
Ninja,"I was expecting it to be the worst impression ever, seriously like top 10 of the closest ive ever heard haha.  Video had me in tears",2013-11-08T00:32:59Z
Ninja,Exactly what I needed at 8:00 AM in the morning. So good I had to watch it twice :),2013-11-06T14:38:27Z
Ninja,That is actually the plan bro!,2013-11-06T18:07:51Z
Ninja,That impression was spot on! Lol,2019-08-21T11:33:37Z
Ninja,i miss the old ninja in halo this ninja is just wow,2013-11-08T06:37:53Z
Ninja,This game actually looks pretty fun. Not sure whether to get it yet though since the Xbox One is coming out so soon.,2013-11-06T12:41:21Z
Ninja,Bein a fan of doing ahhhnallld impressions. I loved this. Thanks for the laughs :),2013-11-06T23:54:24Z
Ninja,This is freaking hilarious!!,2013-11-06T12:28:30Z
Ninja,That was actually quite good lol,2013-11-06T11:14:01Z
Ninja,"What no Halo.jk. love ya Tyler, it&#39;s all about being entertained for me and you are the bees knees in that department. I picked up Ghost and can&#39;t wait to trade it in for Destiny. Not my style and the character movement plays havoc on my motion sickness. Keep on, keepin on Tyler.",2013-11-08T03:38:50Z
Youtuber,Comments,Date
theRadBrad,Poor Wheatley. Even though he was a bad guy I still feel bad for him. ,2014-05-17T02:44:07Z
theRadBrad,Who knew that massive facility was just a little shack in a really beautiful weat field.,2015-06-18T08:40:19Z
theRadBrad,Most Beautiful Game Ending Ever. . .,2014-04-14T06:04:16Z
theRadBrad,Sees turrets: You evil fu- <b>turrets start playing a song</b> ....well this is nice,2013-12-22T04:06:54Z
theRadBrad,"Happy ending, complete with half-burned companion cube LOL. Thanks Brad!",2013-12-27T04:03:11Z
theRadBrad,the ending made me cry and when the half burnt cube with a heart on it just made me cry more and i realized GlaDOS was saying ill always be with you with the heart cube,2017-02-12T14:52:44Z
theRadBrad,"Watched this for nostalgia in 2019. Took me back to being a kid, I&#39;m 17 now and obviously still a kid but this hot home for me fam... One of the best games ever",2019-11-07T05:44:21Z
theRadBrad,when I saw the Turrets at the end I freaked out thinking it was a trap but GlaDOS to finally kill me XDD totally surprised by the song &lt;3,2014-06-17T12:54:59Z
theRadBrad,My god. The ending made my jaw drop. It was so badass!,2011-05-12T07:08:39Z
theRadBrad,"played &amp; finished within 24 hours yesterday, I am totally freaked out and finding white walls around me now",2016-01-04T20:29:28Z
theRadBrad,I found that ending oddly emotional. I can&#39;t believe it&#39;s the end. Yet another fantastic portal game.,2011-04-30T03:05:46Z
theRadBrad,That seemed like one of those sad and happy endings. I loved it when all of the turrents were playing music and singing.,2011-08-11T18:33:47Z
theRadBrad,"one of my top five favorite game ending.<br><br>also, the end of this game forces me to imagine: that the girl will return with some sorts of wireless communication device (smartphone) that Glados/Caroline will link with, so that they can keep in touch...",2016-08-14T21:47:20Z
theRadBrad,"Awesome walkthrough, man. Brilliantly done, I really enjoyed it.",2011-06-16T18:58:53Z
theRadBrad,That ending was amazing:3 Beautiful robot symphony &lt;3 ,2013-01-04T10:50:54Z
theRadBrad,"Thank you for helping me through the game!  Couldn&#39;t have done it without you, and you were fun and entertaining, too!",2012-05-03T03:31:34Z
theRadBrad,"This was the greatest ending possible.
I would have never expected an ending so awesome.",2011-05-13T05:36:56Z
theRadBrad,"Thank you so much for this lets play! It helped me so much on parts of the game that REALLY frustrated me, plus your commentary was great! Not only was it helpful, but amusing as well! I&#39;m actually very excited to see what other let&#39;s plays you have uploaded :) Thanks again, you&#39;ve got my sub ;)",2011-11-13T10:30:36Z
theRadBrad,Wheatley was cool as shit. But the power just got to his damn head. WHY?!!,2013-12-03T04:42:31Z
theRadBrad,this game made some emotions come out that i didnt even know i had &lt;3,2013-05-04T21:11:08Z
theRadBrad,Thank you very much for all your Portal 2 Walkthroughs. It was really helpful at those tricky spots. :),2011-05-01T15:03:11Z
theRadBrad,Thank you for the walkthrough&#39;s mate! They&#39;ve been a great help :),2012-05-27T13:44:49Z
theRadBrad,Amazing walkthrough Brad you made this game so entertaining to watch and that was mad epic when wheatly went to the moon,2011-04-30T03:15:31Z
theRadBrad,"You helped me so much! Thanks for this and for the entertaining and helpful commentary. You are awesome, dude! I am totally subscribing. :)",2013-04-19T05:31:57Z
theRadBrad,"<a href=""http://www.youtube.com/watch?v=dHEIdjC5XJE&amp;t=7m29s"">7:29</a> Its those two multiplayer bots.<br><a href=""http://www.youtube.com/watch?v=dHEIdjC5XJE&amp;t=10m46s"">10:46</a> The burnt companion cube. (the one that was in the incinerator in portal 1)",2015-02-26T01:48:40Z
theRadBrad,"What an epic ending, man. Awesome.",2011-04-30T14:22:45Z
theRadBrad,one of the greatest endings....even watching it was epic...,2011-05-06T00:29:13Z
theRadBrad,Great walkthrough keep it up Brad!,2014-04-14T22:42:13Z
theRadBrad,"If you translate the song that the turrets sang, it makes this ending all the more amazing :&#39;D Absolutely adore Portal 2~",2011-04-30T01:18:46Z
theRadBrad,Very good job Brad that was a great series!,2014-09-10T01:55:11Z
theRadBrad,that ending<br>,2014-01-17T13:18:21Z
theRadBrad,"That was awesome! Thanks for making this. I&#39;m no good at fps-type games, but I really love these stories, so this is the only way I get to see them! It is very much appreciated. :)",2011-04-30T07:24:41Z
theRadBrad,"you have to be one of the most amazing people to ever do playthroughs and your taste in games are down right amazing i hope that one day i might get to meet you in the gaming world, thought i still gat a long way to go p.s. the turret song was extremly enjoyable.",2011-04-30T01:30:27Z
theRadBrad,"I am not good at video games, but I was able to finish this by playing alongside your videos. Thanks, RadBrad.",2017-05-29T04:57:57Z
theRadBrad,What a journey of a walkthrough! Happy new sub :),2011-07-26T21:46:59Z
theRadBrad,"I love this game, just epic. You see when I first saw those 4 torrets when the lift opened, I thought I&#39;m gonna die lol 

And Oh, thanks theRadBrad for the walkthrough and commentary. It&#39;s been entertaining listening to you as well.",2011-06-27T14:25:50Z
theRadBrad,The return of the companion cube,2015-07-30T20:12:18Z
theRadBrad,Excellent game and ending. Simply amazing.,2011-04-30T21:50:48Z
theRadBrad," that was an epic game, thanks for the walkthroughs man",2011-05-01T16:34:20Z
theRadBrad,"Thank you soo much for all your portal videos. They helped a TON. Plus, your commentaries were awesome",2011-06-21T03:24:35Z
theRadBrad,I finished the game last night. The ending was touching. I really didn&#39;t want the game to end . D:,2011-07-11T22:47:00Z
theRadBrad,thanks for all of these walkthroughs. they really helped me out when i was stuck!,2011-06-26T02:26:36Z
theRadBrad,"<a href=""http://www.youtube.com/watch?v=dHEIdjC5XJE&amp;t=9m00s"">9:00</a> is when the song starts.<br>Just in case that&#39;s all you cared about.. :]<br>",2014-04-10T04:05:08Z
theRadBrad,"I love GLaDOS&#39; final words, I hope this isn&#39;t the last Portal game that Valve decides to make..",2011-04-29T23:52:40Z
theRadBrad,Thank you so much Brad. Without you I would have never finished the game! :),2013-08-20T03:16:05Z
theRadBrad,"Hey theRadBrad! <br>I recently bought the game and thanks to your walkthrough i got through the whole game within two days! Which these games usually take me much longer... Anyway your walkthrough helped me alot, so keep it up buddy! <br>Thanks so much!",2017-06-29T10:19:00Z
theRadBrad,"Great walkthrough, epic game. Enjoyed the commentary, oh gaad! :)",2011-05-10T12:26:44Z
theRadBrad,"thanks a whole bunch man, your walkthrough helped me on at least 10 puzzles, you helped me complete the game :D.",2011-06-25T17:16:32Z
theRadBrad,"Am I the only one (even though Wheatley was a total asshole) that feels REALLY bad for Wheatley? Like, &quot;poor Wheatley...&quot; That is what I said at that last cutscene where he is saying he is sorry. But yeah, he was an asshole, but I still feel bad for him.",2015-02-18T11:09:36Z
theRadBrad,Great Walkthrough as always.,2023-02-27T19:47:45Z
theRadBrad,"I absolutely love the walking dead. I love the show I&#39;ve watched since the first day it aired and never missed an episode. I love the game Clementine is my favorite and javi! and I read the comic books alot. so I know alot about the walking dead, I can answer any questions about the show or the game. Much love I want to try this game. should I try it?",2017-05-15T02:33:41Z
theRadBrad,"Loving this series, Brad - I&#39;ll definitely be picking this up soon.",2013-03-24T01:42:00Z
theRadBrad,"Loving the gameplay, Brad! Keep up the great work! :)",2013-03-22T20:41:43Z
theRadBrad,Go Brad! loving your plays man! excited for the next game! ,2013-03-23T16:06:53Z
theRadBrad,"This game looks really sweet, I&#39;ll spend the cash for it!!  The story line is Intriguing .  Keep up the great work on the walkthroughs.  Cant get enough of the OHHHHOO&#39;s And running commentary!!",2013-03-22T21:04:15Z
theRadBrad,Appreciate this series. Thanks for taking the time to do this.,2013-08-21T01:45:26Z
theRadBrad,I loved this series,2015-01-31T18:29:02Z
theRadBrad,"Bless you, Brad. You have taken us to the promised lands by uploading this gameplay.",2013-03-22T22:14:15Z
theRadBrad,"Just started watching the series. It is just as awesome, as you said it was. Thanks for the recommendation!! loving this walkthrough too!!",2013-03-23T02:21:08Z
theRadBrad,"In my personal opinion, I love the way you play this game. I do the exact same thing, look for supplies and avoid walkers as much as possible, unless need to kill them. Love the videos, btw! It helps me through the game. c:",2013-04-03T23:32:05Z
theRadBrad,Loving this walkthrough,2013-03-22T20:03:08Z
theRadBrad,You are awesome! I truly enjoy you taking down those zombies...and your commentary! I really like this game..and am glad I can &#39;play&#39; by watching you. ;) Thanks for sharing!,2013-04-07T06:05:10Z
