,Youtuber,Comments,Word Count,Char Length,Polarity Scores,Emotion
820,jacksepticeye,“not that” bchair spinsb “jesusnot that”,6,40,"{'roberta_neg': 0.41777053, 'roberta_neu': 0.5335258, 'roberta_pos': 0.048703626}",1
821,jacksepticeye,dear sean video crying crying started watching videos made happy stop crying thank much making videos without would sad time videos change that❤️,23,145,"{'roberta_neg': 0.017051384, 'roberta_neu': 0.108478814, 'roberta_pos': 0.8744698}",2
822,jacksepticeye,jack trying everything avoid ender dragon,6,41,"{'roberta_neg': 0.21413262, 'roberta_neu': 0.731454, 'roberta_pos': 0.054413322}",1
825,jacksepticeye,love first runwithin first two fights used total 10 healing potions probably healing,13,84,"{'roberta_neg': 0.0061918297, 'roberta_neu': 0.45677197, 'roberta_pos': 0.5370362}",2
826,jacksepticeye,“i’m really good this”brbr1 minute laterbrbr“i’m gonna get rekt”,9,64,"{'roberta_neg': 0.007975618, 'roberta_neu': 0.1204466, 'roberta_pos': 0.87157774}",2
827,jacksepticeye,jacks laugh leaving hole room first time week facing sun,10,56,"{'roberta_neg': 0.014360367, 'roberta_neu': 0.81131864, 'roberta_pos': 0.17432092}",1
829,jacksepticeye,jack haven’t watching vids i’m feels right thinking back child hood need thank much everything laughs getting scared watching outlast sad moments crazy moments thank sean,26,170,"{'roberta_neg': 0.1234638, 'roberta_neu': 0.42929503, 'roberta_pos': 0.4472412}",2
830,jacksepticeye,didn39t expected jack play dauntless that39s cool,7,49,"{'roberta_neg': 0.0034943877, 'roberta_neu': 0.051604435, 'roberta_pos': 0.9449012}",2
833,jacksepticeye,sean make us happy videos reason able get morning face new day love,13,67,"{'roberta_neg': 0.0014563553, 'roberta_neu': 0.023504786, 'roberta_pos': 0.9750388}",2
834,jacksepticeye,today39s fact collars men39s dress shirts used detachable save laundry costs collar part needed cleaning frequently,16,115,"{'roberta_neg': 0.04125498, 'roberta_neu': 0.7046216, 'roberta_pos': 0.2541234}",1
837,jacksepticeye,game honestly really cool really like monsters,7,46,"{'roberta_neg': 0.002329175, 'roberta_neu': 0.013614233, 'roberta_pos': 0.9840566}",2
839,jacksepticeye,wishing everyone merry christmas hope get presents list,8,55,"{'roberta_neg': 0.0021541615, 'roberta_neu': 0.024980215, 'roberta_pos': 0.97286564}",2
841,jacksepticeye,really need play fun watching play please plat,8,46,"{'roberta_neg': 0.011997261, 'roberta_neu': 0.26270154, 'roberta_pos': 0.72530127}",2
843,jacksepticeye,coming dauntless player man genuinely good,6,42,"{'roberta_neg': 0.003921899, 'roberta_neu': 0.049641673, 'roberta_pos': 0.94643646}",2
846,jacksepticeye,great game sean thank sharing,5,29,"{'roberta_neg': 0.0031465597, 'roberta_neu': 0.019509275, 'roberta_pos': 0.9773442}",2
848,jacksepticeye,repeaters would great cause wouldn39t get close personal monsters can39t exploit weaknesses though charge type everytime can39t change equipment fight,20,150,"{'roberta_neg': 0.20965506, 'roberta_neu': 0.48760438, 'roberta_pos': 0.30274057}",1
849,jacksepticeye,jack kinda guy sponsored still talk start instead game 👏,10,56,"{'roberta_neg': 0.3436781, 'roberta_neu': 0.58372205, 'roberta_pos': 0.07259987}",1
851,jacksepticeye,laughter intro gonna meme wether like,6,37,"{'roberta_neg': 0.021697566, 'roberta_neu': 0.781554, 'roberta_pos': 0.1967485}",1
853,jacksepticeye,part seeing real people thing scares jack xd,8,44,"{'roberta_neg': 0.49126583, 'roberta_neu': 0.4762156, 'roberta_pos': 0.03251855}",0
854,jacksepticeye,game cute,2,9,"{'roberta_neg': 0.0142839225, 'roberta_neu': 0.12799835, 'roberta_pos': 0.85771775}",2
856,jacksepticeye,seeing jack play game jack complete kawaii potato makes wanna unleash inner kawaii potato thanks jack 0•0,17,105,"{'roberta_neg': 0.010880602, 'roberta_neu': 0.34125105, 'roberta_pos': 0.6478684}",2
858,jacksepticeye,wow sweet random game xd,5,24,"{'roberta_neg': 0.0051753507, 'roberta_neu': 0.056643426, 'roberta_pos': 0.9381813}",2
859,jacksepticeye,game reminds quoti saw standing therequot cute little game,9,58,"{'roberta_neg': 0.008914756, 'roberta_neu': 0.2149702, 'roberta_pos': 0.776115}",2
860,jacksepticeye,little snow cones cute really relatable 😂,7,41,"{'roberta_neg': 0.004068352, 'roberta_neu': 0.06479464, 'roberta_pos': 0.931137}",2
861,jacksepticeye,saw cookie cat screamed got punched worth,7,41,"{'roberta_neg': 0.61101264, 'roberta_neu': 0.36667195, 'roberta_pos': 0.022315452}",0
862,jacksepticeye,crush sent video texted quoti wish blue pinkquot dating thank jack gave courage say,14,83,"{'roberta_neg': 0.016980268, 'roberta_neu': 0.71561104, 'roberta_pos': 0.26740867}",1
864,jacksepticeye,love makes blind walk streetlamp xd,6,35,"{'roberta_neg': 0.0123765115, 'roberta_neu': 0.37686956, 'roberta_pos': 0.61075395}",2
865,jacksepticeye,jack bits falling ofbrbrme okay that’s really nice know,9,55,"{'roberta_neg': 0.0029764685, 'roberta_neu': 0.029178683, 'roberta_pos': 0.9678448}",2
866,jacksepticeye,absolutely adore excited gets learns leave footprints walking game,9,66,"{'roberta_neg': 0.004627018, 'roberta_neu': 0.02349821, 'roberta_pos': 0.9718748}",2
867,jacksepticeye,way said quotsnow angelsquot adorable dear lord made happy 😂,10,60,"{'roberta_neg': 0.002850535, 'roberta_neu': 0.06367168, 'roberta_pos': 0.9334778}",2
869,jacksepticeye,one absolutely adores soundtrack it’s cute relaxing,7,51,"{'roberta_neg': 0.0025115276, 'roberta_neu': 0.013082195, 'roberta_pos': 0.98440623}",2
873,jacksepticeye,know recorded time ago can’t help always come back watch cutest ever,12,68,"{'roberta_neg': 0.009599571, 'roberta_neu': 0.11499722, 'roberta_pos': 0.87540317}",2
874,jacksepticeye,quoti hope go find true snow cone lifequot best motivation line i39ve ever heard,14,80,"{'roberta_neg': 0.0060629603, 'roberta_neu': 0.112311326, 'roberta_pos': 0.8816257}",2
877,jacksepticeye,game literally melts heart gamer makes feel like family episode 👌🏼,11,66,"{'roberta_neg': 0.0019436531, 'roberta_neu': 0.015717471, 'roberta_pos': 0.98233885}",2
878,jacksepticeye,cutest series everi drinking coffee uploaded happy national coffee day jack,11,75,"{'roberta_neg': 0.0013403695, 'roberta_neu': 0.01595009, 'roberta_pos': 0.9827095}",2
879,jacksepticeye,love plays cute games gets soft cute,7,36,"{'roberta_neg': 0.004648536, 'roberta_neu': 0.0671118, 'roberta_pos': 0.9282397}",2
880,jacksepticeye,like jack goes quiet that39s possible jack loud like wake morning,11,65,"{'roberta_neg': 0.07427939, 'roberta_neu': 0.8058405, 'roberta_pos': 0.11988012}",1
881,jacksepticeye,cute adorable team lazerbeam something good going keep cute warm games like keep fun jack god bless,17,99,"{'roberta_neg': 0.0014916179, 'roberta_neu': 0.00943297, 'roberta_pos': 0.9890754}",2
882,jacksepticeye,jacks intro nice warm calmmgame outro calm anymore,8,50,"{'roberta_neg': 0.0105808005, 'roberta_neu': 0.16725181, 'roberta_pos': 0.82216734}",2
884,jacksepticeye,can’t get adorable game also please play,7,40,"{'roberta_neg': 0.1014203, 'roberta_neu': 0.31043628, 'roberta_pos': 0.5881434}",2
885,jacksepticeye,don39t know i39m imagining jack tiny snow cone adorable,9,55,"{'roberta_neg': 0.065570004, 'roberta_neu': 0.30080765, 'roberta_pos': 0.6336224}",2
886,jacksepticeye,god game damn cute even music makes feel warm inside,10,52,"{'roberta_neg': 0.003625582, 'roberta_neu': 0.017793931, 'roberta_pos': 0.9785805}",2
887,jacksepticeye,game cute best couple really hope part 3brbrps feel bad eating ice cream watching,14,81,"{'roberta_neg': 0.04206313, 'roberta_neu': 0.13775375, 'roberta_pos': 0.8201831}",2
889,jacksepticeye,loves really loves loud jack is😂❤️,6,34,"{'roberta_neg': 0.0017036331, 'roberta_neu': 0.015439071, 'roberta_pos': 0.9828572}",2
890,jacksepticeye,series strangley adorable,3,25,"{'roberta_neg': 0.03483236, 'roberta_neu': 0.23849589, 'roberta_pos': 0.72667176}",2
891,jacksepticeye,love series even though it’s complex game it’s cool,9,51,"{'roberta_neg': 0.0023203394, 'roberta_neu': 0.026940778, 'roberta_pos': 0.9707389}",2
892,jacksepticeye,game adorable wasn39t even 5 minutes started crying it39s cute makes wanna die 😆,14,80,"{'roberta_neg': 0.019507494, 'roberta_neu': 0.0522359, 'roberta_pos': 0.92825663}",2
893,jacksepticeye,quotno strawbquot jack stop i39m cry 😂,7,38,"{'roberta_neg': 0.3974404, 'roberta_neu': 0.4800737, 'roberta_pos': 0.12248595}",1
894,jacksepticeye,jackthey gonna kissbrme oh lot,5,30,"{'roberta_neg': 0.28528354, 'roberta_neu': 0.6291405, 'roberta_pos': 0.08557596}",1
895,jacksepticeye,love feeling game it39s chill cute warms heart 💖 thanks playing jackaboi,12,72,"{'roberta_neg': 0.0018540662, 'roberta_neu': 0.007404781, 'roberta_pos': 0.99074113}",2
896,jacksepticeye,i39m excited see jack tomorrow night game cute,8,46,"{'roberta_neg': 0.0012559162, 'roberta_neu': 0.00848601, 'roberta_pos': 0.9902581}",2
897,jacksepticeye,love jack likes adorable things adorable game,7,45,"{'roberta_neg': 0.002503872, 'roberta_neu': 0.014881868, 'roberta_pos': 0.9826142}",2
898,jacksepticeye,love mini series say good making games love done far,10,52,"{'roberta_neg': 0.0031477364, 'roberta_neu': 0.02644302, 'roberta_pos': 0.9704093}",2
899,jacksepticeye,thank much jack making remember game happy saw video upload game cute really home future,15,88,"{'roberta_neg': 0.0022105672, 'roberta_neu': 0.025098933, 'roberta_pos': 0.97269046}",2
900,jacksepticeye,bad rlly excited,3,16,"{'roberta_neg': 0.021598281, 'roberta_neu': 0.17142424, 'roberta_pos': 0.80697745}",2
902,jacksepticeye,liked 2033 love it39s better almost every single way adore games thanks man appreciate support,15,94,"{'roberta_neg': 0.0022167107, 'roberta_neu': 0.0066445856, 'roberta_pos': 0.99113864}",2
903,jacksepticeye,agreed,1,6,"{'roberta_neg': 0.06973229, 'roberta_neu': 0.5512663, 'roberta_pos': 0.37900138}",1
905,jacksepticeye,pc similar build built time downloaded mll soon download available cuz got free graphics card great watch play thank wonderful videos,21,133,"{'roberta_neg': 0.0026745063, 'roberta_neu': 0.027405351, 'roberta_pos': 0.9699201}",2
906,jacksepticeye,beat metro 2033 last night can39t wait pick one great video haha,12,64,"{'roberta_neg': 0.0015102962, 'roberta_neu': 0.012621043, 'roberta_pos': 0.9858687}",2
908,jacksepticeye,metro 2033 great game awesome game,6,34,"{'roberta_neg': 0.0018449984, 'roberta_neu': 0.014495949, 'roberta_pos': 0.983659}",2
910,jacksepticeye,try watching videos oldest newest part 187,7,42,"{'roberta_neg': 0.04225998, 'roberta_neu': 0.9014326, 'roberta_pos': 0.056307364}",1
911,jacksepticeye,first seriesbri watched,3,23,"{'roberta_neg': 0.0248682, 'roberta_neu': 0.86057335, 'roberta_pos': 0.11455843}",1
913,jacksepticeye,r fave person,3,13,"{'roberta_neg': 0.016003154, 'roberta_neu': 0.33140603, 'roberta_pos': 0.6525908}",2
914,jacksepticeye,hey jack past,3,13,"{'roberta_neg': 0.12873766, 'roberta_neu': 0.76363474, 'roberta_pos': 0.10762757}",1
915,jacksepticeye,u try find lowest views video jack,7,34,"{'roberta_neg': 0.27065542, 'roberta_neu': 0.6968508, 'roberta_pos': 0.032493874}",1
916,jacksepticeye,speed key,2,9,"{'roberta_neg': 0.16156419, 'roberta_neu': 0.6260354, 'roberta_pos': 0.2124004}",1
918,jacksepticeye,omg made,2,8,"{'roberta_neg': 0.10495079, 'roberta_neu': 0.5713653, 'roberta_pos': 0.32368395}",1
919,jacksepticeye,that’s mad,2,10,"{'roberta_neg': 0.5208529, 'roberta_neu': 0.34124517, 'roberta_pos': 0.13790193}",0
921,jacksepticeye,sporpions,1,9,"{'roberta_neg': 0.22089843, 'roberta_neu': 0.6325135, 'roberta_pos': 0.146588}",1
922,jacksepticeye,dang 15 comments—,3,17,"{'roberta_neg': 0.581403, 'roberta_neu': 0.3903187, 'roberta_pos': 0.028278328}",0
923,jacksepticeye,first,1,5,"{'roberta_neg': 0.2165138, 'roberta_neu': 0.50769436, 'roberta_pos': 0.2757918}",1
924,jacksepticeye,,0,0,"{'roberta_neg': 0.2582943, 'roberta_neu': 0.4512724, 'roberta_pos': 0.29043332}",1
927,jacksepticeye,way jack keeps bringing people companies together good things keeps amazing mebryou jack,13,88,"{'roberta_neg': 0.0018869799, 'roberta_neu': 0.032247867, 'roberta_pos': 0.96586514}",2
928,jacksepticeye,genuinely love you39re power fanbase actually inspiring,7,55,"{'roberta_neg': 0.0018055391, 'roberta_neu': 0.013724399, 'roberta_pos': 0.98447}",2
931,jacksepticeye,jack know sisters wedding u keeping 😂,7,37,"{'roberta_neg': 0.06728601, 'roberta_neu': 0.7615031, 'roberta_pos': 0.1712109}",1
940,jacksepticeye,beautiful man jack already told everyone know good luck high fives around,12,73,"{'roberta_neg': 0.0014676312, 'roberta_neu': 0.0178148, 'roberta_pos': 0.9807176}",2
944,jacksepticeye,always give brgood job jack 😍🤗,6,30,"{'roberta_neg': 0.0016496261, 'roberta_neu': 0.028755281, 'roberta_pos': 0.9695951}",2
945,jacksepticeye,i’m proud charity events good ❤️ ❤️,7,35,"{'roberta_neg': 0.0011632768, 'roberta_neu': 0.010652852, 'roberta_pos': 0.98818386}",2
947,jacksepticeye,jack gotta one giving youtubers give 100000 month people charities need best,12,76,"{'roberta_neg': 0.038949646, 'roberta_neu': 0.61755073, 'roberta_pos': 0.34349963}",1
948,jacksepticeye,i39ll sleeping sean39s convincing think i39ll put another time,9,62,"{'roberta_neg': 0.049881704, 'roberta_neu': 0.88503075, 'roberta_pos': 0.06508758}",1
949,jacksepticeye,sean i39m nursing school i39m broke i39ll support you39re great guy much love ❤❤,14,80,"{'roberta_neg': 0.0027993436, 'roberta_neu': 0.01616646, 'roberta_pos': 0.9810342}",2
950,jacksepticeye,title help help help amayzing charity livestream 90 minutes,9,59,"{'roberta_neg': 0.009181132, 'roberta_neu': 0.4109542, 'roberta_pos': 0.5798646}",2
951,jacksepticeye,sean something i’ve noticed watching 3 years kind humble guy deserve everything achieved thanks making day,16,106,"{'roberta_neg': 0.0046075485, 'roberta_neu': 0.054984074, 'roberta_pos': 0.94040835}",2
952,jacksepticeye,thank sean friend,3,17,"{'roberta_neg': 0.006425867, 'roberta_neu': 0.43476525, 'roberta_pos': 0.5588089}",2
954,jacksepticeye,got mom love jack much he39s raised much actually cares charities can39t believe actually started watching youtuber doesn39t like youtube anything like told he39s actually got really excited happy ppl like world internet good influences thank much jack you39ve done much world charities,43,286,"{'roberta_neg': 0.0031367547, 'roberta_neu': 0.017024845, 'roberta_pos': 0.9798384}",2
955,jacksepticeye,forget funeral may dead watching stream,6,39,"{'roberta_neg': 0.4355782, 'roberta_neu': 0.5163024, 'roberta_pos': 0.048119362}",1
956,jacksepticeye,yayyyyyy charity donation positivity love let’s,6,47,"{'roberta_neg': 0.0013692017, 'roberta_neu': 0.0342575, 'roberta_pos': 0.9643733}",2
960,jacksepticeye,always watch charity live streams give much keep jack,9,53,"{'roberta_neg': 0.009837687, 'roberta_neu': 0.2799288, 'roberta_pos': 0.7102335}",2
961,jacksepticeye,jack great person always charity’s genuinely great guy 👍,9,56,"{'roberta_neg': 0.0040601892, 'roberta_neu': 0.036823176, 'roberta_pos': 0.9591167}",2
962,jacksepticeye,seriously hell could dislike sean pure wholesome don39t deserve 39,10,66,"{'roberta_neg': 0.95943886, 'roberta_neu': 0.037032805, 'roberta_pos': 0.003528269}",0
963,jacksepticeye,person area happens charity amazing didn’t happen best friend it’s hard seeing bestie cry donating hope others 😊😔,18,113,"{'roberta_neg': 0.37971756, 'roberta_neu': 0.44050685, 'roberta_pos': 0.1797756}",1
965,jacksepticeye,thank jack you39re amazing person camera,6,40,"{'roberta_neg': 0.003644105, 'roberta_neu': 0.026955323, 'roberta_pos': 0.9694006}",2
966,jacksepticeye,thanks sean endless kindness towards others 💕💖,7,46,"{'roberta_neg': 0.0021679127, 'roberta_neu': 0.02812807, 'roberta_pos': 0.96970403}",2
968,jacksepticeye,jack amazing hard work charity love shows fans awesome keep jack never see epic gamerrrr,15,88,"{'roberta_neg': 0.0071356636, 'roberta_neu': 0.050318737, 'roberta_pos': 0.94254565}",2
969,jacksepticeye,way jack donated charities bless man gonna go heaven,9,52,"{'roberta_neg': 0.0080686975, 'roberta_neu': 0.11527005, 'roberta_pos': 0.8766612}",2
970,jacksepticeye,wish could donate broke donate telling everyone know telling fb twitter ig followers though,14,91,"{'roberta_neg': 0.13984783, 'roberta_neu': 0.7154561, 'roberta_pos': 0.14469607}",1
971,jacksepticeye,i’m going make sure don’t miss charity usually don’t enough person grew abused poverty charity means lot thank sean love,20,120,"{'roberta_neg': 0.02168666, 'roberta_neu': 0.20909148, 'roberta_pos': 0.7692219}",2
972,jacksepticeye,thank much supporting kids rallying amazing community month good,9,64,"{'roberta_neg': 0.001910702, 'roberta_neu': 0.016253129, 'roberta_pos': 0.9818362}",2
975,jacksepticeye,another exit moving rectangle led fire jump nigel say quoti39m glad die give minute sends elevator apparently thats good ending,20,127,"{'roberta_neg': 0.0070787314, 'roberta_neu': 0.12014313, 'roberta_pos': 0.8727782}",2
976,jacksepticeye,everyone keeps telling there39s good ending know said video won39t video idea let39s play experience story one way face whatever happens way move instead every single ending,27,173,"{'roberta_neg': 0.097497806, 'roberta_neu': 0.560596, 'roberta_pos': 0.34190625}",1
978,jacksepticeye,memories d39 cool game deserves bhighfiveb,6,42,"{'roberta_neg': 0.002087152, 'roberta_neu': 0.044893615, 'roberta_pos': 0.95301926}",2
979,jacksepticeye,nice everybody that39s respect much apreciate thanks jack,8,57,"{'roberta_neg': 0.0017308153, 'roberta_neu': 0.014490198, 'roberta_pos': 0.983779}",2
980,jacksepticeye,hey jack know don39t wanna another video alternate ending think get free time alternate ending free time don39t need make video think missing,23,141,"{'roberta_neg': 0.30262783, 'roberta_neu': 0.6314574, 'roberta_pos': 0.06591477}",1
981,jacksepticeye,one favorite portal games you39ve ever played i39m watching 2017,10,64,"{'roberta_neg': 0.0048947604, 'roberta_neu': 0.5666714, 'roberta_pos': 0.42843384}",1
982,jacksepticeye,jack i39m back dentist today gums still numb despite bothering cheered thanks epic vids jackbrd,15,95,"{'roberta_neg': 0.080314785, 'roberta_neu': 0.448418, 'roberta_pos': 0.4712672}",2
983,jacksepticeye,really dug man like said it39s true shame viewership drops heavily series i39m glad see trying fit especially game unique fun brbrthanks dude,23,141,"{'roberta_neg': 0.017213643, 'roberta_neu': 0.1365568, 'roberta_pos': 0.8462296}",2
984,jacksepticeye,wow amazing reply lots comments make tons videos different kinds titles audiences simmers channel one really deserves popular right thank existing sorry sounded weird lol,25,170,"{'roberta_neg': 0.005208094, 'roberta_neu': 0.030321201, 'roberta_pos': 0.9644707}",2
985,jacksepticeye,it39s weird seeing jack knowing he39s supposed,7,46,"{'roberta_neg': 0.5718828, 'roberta_neu': 0.38439524, 'roberta_pos': 0.043722007}",0
987,jacksepticeye,hey jack boss love vids,5,23,"{'roberta_neg': 0.008045225, 'roberta_neu': 0.111243054, 'roberta_pos': 0.8807117}",2
988,jacksepticeye,great series wish longer don39t wish play sean,8,46,"{'roberta_neg': 0.06791858, 'roberta_neu': 0.33536124, 'roberta_pos': 0.59672016}",2
989,jacksepticeye,man really liked series end,5,27,"{'roberta_neg': 0.006870949, 'roberta_neu': 0.100445434, 'roberta_pos': 0.8926836}",2
990,jacksepticeye,congrats everything far jack nothing like punching like button,9,62,"{'roberta_neg': 0.030777771, 'roberta_neu': 0.19777443, 'roberta_pos': 0.77144784}",2
991,jacksepticeye,loved series jack great job keep making funny videos making everyone laugh man,13,78,"{'roberta_neg': 0.002922334, 'roberta_neu': 0.011922913, 'roberta_pos': 0.9851547}",2
992,jacksepticeye,love videos man funny always brighten day,7,41,"{'roberta_neg': 0.0025766972, 'roberta_neu': 0.011154885, 'roberta_pos': 0.9862684}",2
994,jacksepticeye,hey jack really loved aperture tag series wonder game next 1 boss play,13,70,"{'roberta_neg': 0.002221808, 'roberta_neu': 0.028463984, 'roberta_pos': 0.9693142}",2
995,jacksepticeye,addition puzzles paint game also make one hell drinking game take drink every time nigel uses word quotsoquot,18,109,"{'roberta_neg': 0.5108475, 'roberta_neu': 0.44202074, 'roberta_pos': 0.04713171}",0
996,jacksepticeye,jack vids amazing wonder subs increasing quickly deserve,8,56,"{'roberta_neg': 0.0038384083, 'roberta_neu': 0.04779663, 'roberta_pos': 0.948365}",2
997,jacksepticeye,loved series wish,3,17,"{'roberta_neg': 0.006663634, 'roberta_neu': 0.05045069, 'roberta_pos': 0.9428857}",2
999,jacksepticeye,get good ending couse love watching aperture tag,8,48,"{'roberta_neg': 0.006003018, 'roberta_neu': 0.051747784, 'roberta_pos': 0.9422492}",2
1000,jacksepticeye,love videos jack always cheer,5,29,"{'roberta_neg': 0.0030607763, 'roberta_neu': 0.040954858, 'roberta_pos': 0.95598435}",2
1001,jacksepticeye,thanks jack awesome watch start finish,6,38,"{'roberta_neg': 0.005109494, 'roberta_neu': 0.054361112, 'roberta_pos': 0.9405294}",2
1002,jacksepticeye,wanted play found video watched episodes later started watching videos amazing man,12,82,"{'roberta_neg': 0.0030244088, 'roberta_neu': 0.058939777, 'roberta_pos': 0.9380357}",2
1003,jacksepticeye,one favorite series,3,19,"{'roberta_neg': 0.009934709, 'roberta_neu': 0.1719811, 'roberta_pos': 0.8180842}",2
1004,jacksepticeye,jack game awesome thing still love portal games thank much showing game fun game reminds used get frustrated confused different levels portal games boss,24,152,"{'roberta_neg': 0.017319499, 'roberta_neu': 0.05406683, 'roberta_pos': 0.9286137}",2
1005,jacksepticeye,gotta say jack content amazeballs,5,33,"{'roberta_neg': 0.06288628, 'roberta_neu': 0.5272067, 'roberta_pos': 0.409907}",1
1006,jacksepticeye,awesome series jack good series come end,7,40,"{'roberta_neg': 0.0056520267, 'roberta_neu': 0.046732683, 'roberta_pos': 0.94761527}",2
1009,jacksepticeye,don39t know went ehh first level starting laughing hard,9,55,"{'roberta_neg': 0.08268029, 'roberta_neu': 0.40131167, 'roberta_pos': 0.5160081}",2
1010,jacksepticeye,hi jackbrthis great video always cheers day come onto channel watch videos boss,13,79,"{'roberta_neg': 0.0020410458, 'roberta_neu': 0.016978849, 'roberta_pos': 0.9809801}",2
1011,jacksepticeye,hi jack day birth day keep good work boss every day i39m sad always cheer,15,73,"{'roberta_neg': 0.016191825, 'roberta_neu': 0.11747896, 'roberta_pos': 0.86632925}",2
1012,jacksepticeye,awesome video always jack,4,25,"{'roberta_neg': 0.0071149813, 'roberta_neu': 0.051094253, 'roberta_pos': 0.9417908}",2
1015,jacksepticeye,awesome game thanks jack 5 parts,6,32,"{'roberta_neg': 0.003924527, 'roberta_neu': 0.023802098, 'roberta_pos': 0.97227335}",2
1016,jacksepticeye,aperture tag 2 needs happen,5,27,"{'roberta_neg': 0.053906634, 'roberta_neu': 0.86025405, 'roberta_pos': 0.08583933}",1
1017,jacksepticeye,jack sexai beast,3,16,"{'roberta_neg': 0.671121, 'roberta_neu': 0.2984437, 'roberta_pos': 0.03043529}",0
1019,jacksepticeye,really wanna try try get good ending game looks fun,10,51,"{'roberta_neg': 0.0026757037, 'roberta_neu': 0.026073826, 'roberta_pos': 0.9712505}",2
1020,jacksepticeye,jack felling boss army keep growing rapidly bosses youtube,9,58,"{'roberta_neg': 0.01930416, 'roberta_neu': 0.38664955, 'roberta_pos': 0.5940463}",2
1021,jacksepticeye,love jack let get though hard times want say thank much making brilliant videos,14,79,"{'roberta_neg': 0.006200614, 'roberta_neu': 0.034733675, 'roberta_pos': 0.9590657}",2
1023,jacksepticeye,reading comments think people hating others comments playing suggesting certain games,11,85,"{'roberta_neg': 0.69316804, 'roberta_neu': 0.29803443, 'roberta_pos': 0.008797481}",0
1024,jacksepticeye,hey jack wanted tell life sucksi get bullied school friends parents getting divorce whenever feel sad depressed go room sit bed watch videos help escape reality make think life sarrows funny love always happy keep making videos boss don39t know would without lt3 thank everyone elts loves,47,288,"{'roberta_neg': 0.14368127, 'roberta_neu': 0.24657294, 'roberta_pos': 0.6097458}",2
1034,jacksepticeye,jack i’m going carve name children brbrwall street journal he39s condoning murder,12,81,"{'roberta_neg': 0.8864416, 'roberta_neu': 0.10770672, 'roberta_pos': 0.0058517167}",0
1039,jacksepticeye,jack39s almost 30 oh dear i39m midlife crisis,8,45,"{'roberta_neg': 0.68164194, 'roberta_neu': 0.29019192, 'roberta_pos': 0.028166119}",0
1042,jacksepticeye,don39t remember kid like game pretty much sums lol,9,50,"{'roberta_neg': 0.27555496, 'roberta_neu': 0.61560416, 'roberta_pos': 0.10884087}",1
1050,jacksepticeye,jack kids weird i’ll nightmares goodbye brbrme dying laughing,9,61,"{'roberta_neg': 0.61439866, 'roberta_neu': 0.27759638, 'roberta_pos': 0.10800496}",0
1052,Youtuber,comments,1,8,"{'roberta_neg': 0.18648346, 'roberta_neu': 0.6851768, 'roberta_pos': 0.12833972}",1
1053,Techno Gamerz,know beta locked mod sanhok guns like qbu qbz weapons tab think sahok map released beta weeks,17,93,"{'roberta_neg': 0.10584881, 'roberta_neu': 0.8643929, 'roberta_pos': 0.029758312}",1
1055,Techno Gamerz,thank bhai 😊❤️,3,14,"{'roberta_neg': 0.002144461, 'roberta_neu': 0.04377819, 'roberta_pos': 0.95407736}",2
1056,Techno Gamerz,beta version lab ayga date batana,6,33,"{'roberta_neg': 0.07160305, 'roberta_neu': 0.87924385, 'roberta_pos': 0.049153045}",1
1057,Techno Gamerz,server option nahi hy,4,21,"{'roberta_neg': 0.19352454, 'roberta_neu': 0.6585191, 'roberta_pos': 0.14795637}",1
1058,Techno Gamerz,low damage fixed,3,16,"{'roberta_neg': 0.21314862, 'roberta_neu': 0.71644276, 'roberta_pos': 0.07040858}",1
1060,Techno Gamerz,where39s beryl m762,3,19,"{'roberta_neg': 0.12274256, 'roberta_neu': 0.81954134, 'roberta_pos': 0.057716087}",1
1061,Techno Gamerz,m762 aai hai,3,12,"{'roberta_neg': 0.2398021, 'roberta_neu': 0.56382203, 'roberta_pos': 0.19637583}",1
1062,Techno Gamerz,music used video,3,16,"{'roberta_neg': 0.109590136, 'roberta_neu': 0.8305148, 'roberta_pos': 0.059895113}",1
1063,Techno Gamerz,bhai beta mode unlock kab ho jayega,7,35,"{'roberta_neg': 0.11227174, 'roberta_neu': 0.81520116, 'roberta_pos': 0.07252713}",1
1064,Techno Gamerz,shanok map work realme c2,5,25,"{'roberta_neg': 0.06395173, 'roberta_neu': 0.83843553, 'roberta_pos': 0.097612716}",1
1065,Techno Gamerz,ye update kitna mb ki hai,6,25,"{'roberta_neg': 0.116749294, 'roberta_neu': 0.7847768, 'roberta_pos': 0.09847395}",1
1066,Techno Gamerz,beta version unlock karo na bro,6,31,"{'roberta_neg': 0.058005136, 'roberta_neu': 0.855706, 'roberta_pos': 0.08628885}",1
1067,Techno Gamerz,kab aayega update,3,17,"{'roberta_neg': 0.12403752, 'roberta_neu': 0.766234, 'roberta_pos': 0.109728515}",1
1068,Techno Gamerz,thanku much vivo new ipdate k liye,7,34,"{'roberta_neg': 0.0022647812, 'roberta_neu': 0.09046878, 'roberta_pos': 0.90726644}",2
1069,Techno Gamerz,waiting video like,3,18,"{'roberta_neg': 0.10471528, 'roberta_neu': 0.78931063, 'roberta_pos': 0.105974115}",1
1070,Techno Gamerz,bhai pubg mobile lite emulator ke liye kb launch ho gi,11,54,"{'roberta_neg': 0.10024207, 'roberta_neu': 0.8449858, 'roberta_pos': 0.054772127}",1
1071,Techno Gamerz,hi bro,2,6,"{'roberta_neg': 0.15224682, 'roberta_neu': 0.58524764, 'roberta_pos': 0.26250547}",1
